hr,weather_desc,is_member,temp_bin,wind_bin,duration_mean,count
0,cloudy,N,"(26.449, 33.534]","[12.24, 24.48)",10.783333333333333,0.012285012285012284
0,cloudy,N,"(33.534, 40.618]","[0.0, 12.24)",15.025833333333333,0.02457002457002457
0,cloudy,N,"(33.534, 40.618]","[12.24, 24.48)",12.556410256410256,0.03194103194103194
0,cloudy,N,"(33.534, 40.618]","[24.48, 36.72)",13.28611111111111,0.044226044226044224
0,cloudy,N,"(40.618, 47.703]","[0.0, 12.24)",12.228091397849461,0.15233415233415235
0,cloudy,N,"(40.618, 47.703]","[12.24, 24.48)",15.544927536231883,0.028255528255528257
0,cloudy,N,"(40.618, 47.703]","[24.48, 36.72)",12.811904761904762,0.0687960687960688
0,cloudy,N,"(47.703, 54.788]","[0.0, 12.24)",15.194174757281553,0.12653562653562653
0,cloudy,N,"(47.703, 54.788]","[12.24, 24.48)",14.542063492063493,0.128992628992629
0,cloudy,N,"(47.703, 54.788]","[24.48, 36.72)",15.33421052631579,0.07002457002457002
0,cloudy,N,"(54.788, 61.873]","[0.0, 12.24)",17.069298245614036,1.0737100737100738
0,cloudy,N,"(54.788, 61.873]","[12.24, 24.48)",15.6933901054339,0.504914004914005
0,cloudy,N,"(54.788, 61.873]","[24.48, 36.72)",12.676406926406928,0.0945945945945946
0,cloudy,N,"(61.873, 68.958]","[0.0, 12.24)",17.053360805860805,2.235872235872236
0,cloudy,N,"(61.873, 68.958]","[12.24, 24.48)",17.69256128486898,1.4533169533169532
0,cloudy,N,"(61.873, 68.958]","[24.48, 36.72)",16.512988505747124,0.35626535626535627
0,cloudy,N,"(68.958, 76.042]","[0.0, 12.24)",18.371510567535672,3.8169533169533167
0,cloudy,N,"(68.958, 76.042]","[12.24, 24.48)",17.908709196803464,3.0233415233415233
0,cloudy,N,"(68.958, 76.042]","[24.48, 36.72)",17.044762845849803,0.6216216216216216
0,cloudy,N,"(76.042, 83.127]","[0.0, 12.24)",18.158948545861296,1.4643734643734643
0,cloudy,N,"(76.042, 83.127]","[12.24, 24.48)",18.010732814526587,1.8943488943488944
0,cloudy,N,"(76.042, 83.127]","[24.48, 36.72)",17.149829234972678,0.5995085995085995
0,cloudy,N,"(76.042, 83.127]","[36.72, 48.96)",22.421618357487922,0.16953316953316952
0,cloudy,N,"(83.127, 90.212]","[12.24, 24.48)",17.77146825396825,0.515970515970516
0,cloudy,Y,"(26.449, 33.534]","[12.24, 24.48)",10.699122807017543,0.07002457002457002
0,cloudy,Y,"(33.534, 40.618]","[0.0, 12.24)",9.759593837535014,0.29238329238329236
0,cloudy,Y,"(33.534, 40.618]","[12.24, 24.48)",9.632851473922901,0.7223587223587223
0,cloudy,Y,"(33.534, 40.618]","[24.48, 36.72)",9.335127055306428,0.273955773955774
0,cloudy,Y,"(40.618, 47.703]","[0.0, 12.24)",9.743868075568365,1.278869778869779
0,cloudy,Y,"(40.618, 47.703]","[12.24, 24.48)",8.67796803652968,0.17936117936117937
0,cloudy,Y,"(40.618, 47.703]","[24.48, 36.72)",9.851867816091954,0.7125307125307125
0,cloudy,Y,"(47.703, 54.788]","[0.0, 12.24)",10.565816091954023,0.8906633906633906
0,cloudy,Y,"(47.703, 54.788]","[12.24, 24.48)",10.5493287491814,1.2506142506142506
0,cloudy,Y,"(47.703, 54.788]","[24.48, 36.72)",9.686133333333334,0.6142506142506142
0,cloudy,Y,"(54.788, 61.873]","[0.0, 12.24)",10.86566630454463,4.523341523341523
0,cloudy,Y,"(54.788, 61.873]","[12.24, 24.48)",10.403341312587274,2.052825552825553
0,cloudy,Y,"(54.788, 61.873]","[24.48, 36.72)",11.162189859762675,0.7592137592137592
0,cloudy,Y,"(61.873, 68.958]","[0.0, 12.24)",11.553517483964411,7.916461916461916
0,cloudy,Y,"(61.873, 68.958]","[12.24, 24.48)",11.5906330749354,5.388206388206388
0,cloudy,Y,"(61.873, 68.958]","[24.48, 36.72)",12.004166666666666,0.9484029484029484
0,cloudy,Y,"(68.958, 76.042]","[0.0, 12.24)",12.419595718932003,10.828009828009828
0,cloudy,Y,"(68.958, 76.042]","[12.24, 24.48)",11.886934369602763,9.484029484029485
0,cloudy,Y,"(68.958, 76.042]","[24.48, 36.72)",11.5123786407767,1.5184275184275184
0,cloudy,Y,"(76.042, 83.127]","[0.0, 12.24)",12.192788461538463,4.216216216216216
0,cloudy,Y,"(76.042, 83.127]","[12.24, 24.48)",12.305913111031433,6.8525798525798525
0,cloudy,Y,"(76.042, 83.127]","[24.48, 36.72)",12.30845259391771,1.3734643734643734
0,cloudy,Y,"(76.042, 83.127]","[36.72, 48.96)",12.161446886446887,0.44717444717444715
0,cloudy,Y,"(83.127, 90.212]","[12.24, 24.48)",12.785070214338507,1.1081081081081081
0,cloudy,N,"(26.449, 33.534]","[0.0, 12.24)",17.116666666666667,0.004914004914004914
0,cloudy,N,"(26.449, 33.534]","[12.24, 24.48)",19.308333333333334,0.002457002457002457
0,cloudy,N,"(33.534, 40.618]","[0.0, 12.24)",15.869791666666666,0.07862407862407862
0,cloudy,N,"(33.534, 40.618]","[12.24, 24.48)",16.979022988505747,0.07125307125307126
0,cloudy,N,"(40.618, 47.703]","[0.0, 12.24)",16.208119658119656,0.09582309582309582
0,cloudy,N,"(40.618, 47.703]","[12.24, 24.48)",21.675510204081636,0.060196560196560195
0,cloudy,N,"(47.703, 54.788]","[0.0, 12.24)",17.042572463768117,0.22604422604422605
0,cloudy,N,"(47.703, 54.788]","[12.24, 24.48)",15.30683930942895,0.3083538083538084
0,cloudy,N,"(47.703, 54.788]","[24.48, 36.72)",17.788366890380313,0.18304668304668303
0,cloudy,N,"(54.788, 61.873]","[0.0, 12.24)",18.651071428571427,0.687960687960688
0,cloudy,N,"(54.788, 61.873]","[12.24, 24.48)",16.64173640167364,0.5872235872235873
0,cloudy,N,"(54.788, 61.873]","[24.48, 36.72)",16.90714285714286,0.042997542997543
0,cloudy,N,"(61.873, 68.958]","[0.0, 12.24)",16.513220743773456,1.2002457002457003
0,cloudy,N,"(61.873, 68.958]","[12.24, 24.48)",17.6178231292517,1.5049140049140048
0,cloudy,N,"(61.873, 68.958]","[24.48, 36.72)",16.978654970760235,0.07002457002457002
0,cloudy,N,"(68.958, 76.042]","[0.0, 12.24)",17.456270113152705,3.944717444717445
0,cloudy,N,"(68.958, 76.042]","[12.24, 24.48)",17.809599934415477,2.4975429975429977
0,cloudy,N,"(68.958, 76.042]","[24.48, 36.72)",18.511760697737806,1.5024570024570025
0,cloudy,N,"(76.042, 83.127]","[0.0, 12.24)",18.3875889817394,1.3230958230958232
0,cloudy,N,"(76.042, 83.127]","[12.24, 24.48)",17.941182795698925,2.4754299754299756
0,cloudy,N,"(76.042, 83.127]","[24.48, 36.72)",16.890494791666665,0.15724815724815724
0,cloudy,N,"(83.127, 90.212]","[0.0, 12.24)",19.08948220064725,0.12653562653562653
0,cloudy,N,"(83.127, 90.212]","[12.24, 24.48)",18.98836382113821,0.40294840294840295
