weather_desc,is_member,duration_mean,count,start_station_name,end_station_name
sky is clear,Y,25.833333333333332,1,de Maisonneuve / Robert-Bourassa,Gascon / Rachel
cloudy,Y,8.205555555555556,3,Calixa-Lavallée / Sherbrooke,Resther / du Mont-Royal
mist,Y,3.088888888888889,3,de Maisonneuve / Stanley,Crescent / René-Lévesque
fog,Y,13.65,1,du Parc-La Fontaine / Duluth,de Châteaubriand / Beaubien
mist,Y,9.2,1,Montcalm / de Maisonneuve,Viger/Jeanne Mance
sky is clear,N,19.233333333333334,2,McEachran / Van Horne,University / des Pins
mist,N,7.366666666666666,1,de l'Hôtel-de-Ville / Sherbrooke,Sanguinet / Ste-Catherine
cloudy,Y,9.166666666666666,1,St-Jacques / St-Pierre,des Seigneurs / Notre-Dame
fog,Y,15.744444444444444,3,5e avenue / Bannantyne,Métro Angrignon
sky is clear,Y,22.533333333333335,4,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),Rachel / Brébeuf
cloudy,N,14.266666666666667,1,St-André / Robin,de la Gauchetière / Mansfield
mist,Y,18.833333333333332,4,Place du Commerce,Rushbrooke /  Caisse
light intensity drizzle,Y,18.891666666666666,2,St-Dominique / St-Zotique,Drolet / St-Zotique
cloudy,Y,13.75,1,de la Commune / Berri,Ottawa / William
cloudy,Y,30.133333333333333,2,Sanguinet / de Maisonneuve,Édouard-Montpetit (Université de Montréal)
mist,Y,12.383333333333333,2,Laval / du Mont-Royal,Boyer / Rosemont
cloudy,N,19.633333333333333,1,St-Dominique / Bernard,McGill / Place d'Youville
rain,Y,24.866666666666667,1,Milton / Clark,Boyer / Bélanger
cloudy,Y,12.75,1,Parthenais / Ste-Catherine,Métro Place-d'Armes (Viger / St-Urbain)
cloudy,N,4.75,1,Larivière / de Lorimier,Wolfe / Robin
cloudy,Y,16.891666666666666,2,Square Phillips 2,Ontario / du Havre
cloudy,Y,10.425,2,de Maisonneuve / Mansfield,Métro George-Vanier (St-Antoine / Canning)
cloudy,N,11.916666666666666,1,Métro Mont-Royal (Rivard / du Mont-Royal),Wolfe / René-Lévesque
cloudy,Y,9.4,1,Duluth / de l'Esplanade,Mentana / Marie-Anne
cloudy,N,5.416666666666667,1,Notre-Dame / Chatham,Shannon / Ottawa
cloudy,Y,18.866666666666667,1,Dunlop / Van Horne,Cypress / Peel
cloudy,Y,23.25,1,Mackay / René-Lévesque,Hutchison/ Prince-Arthur
mist,Y,23.1,1,Louis-Colin / McKenna,Calixa-Lavallée / Rachel
cloudy,Y,34.166666666666664,1,Paul Boutet / Jarry,Villeneuve / St-Urbain
mist,Y,10.933333333333334,1,Laval / Rachel,Garnier / du Mont-Royal
sky is clear,N,7.527777777777778,3,St-Marc / Sherbrooke,de Maisonneuve / Greene
cloudy,Y,19.6,1,d'Outremont / Ogilvy,Boyer / du Mont-Royal
fog,Y,20.438888888888886,3,Victoria Hall,de Maisonneuve / Stanley
cloudy,N,6.033333333333333,1,des Érables / Gauthier,Messier / du Mont-Royal
sky is clear,Y,15.65,3,Marie-Anne / St-Hubert,de Maisonneuve / Aylmer
cloudy,Y,15.222222222222223,3,St-André / de Maisonneuve,Square Phillips
cloudy,Y,4.941666666666666,2,Berri / Cherrier,Laval / Duluth
cloudy,N,17.108333333333334,2,Marquette / Laurier,Clark / Laurier
cloudy,Y,3.279166666666667,4,Alexandra / Jean Talon,Mozart / St-Laurent
cloudy,N,10.083333333333334,1,Plessis / Ontario,Sanguinet / de Maisonneuve
cloudy,Y,13.8,1,St-Dominique / St-Viateur,Villeneuve / du Parc
sky is clear,Y,29.783333333333335,1,St-Jacques / St-Pierre,Marché Atwater
cloudy,N,13.570833333333333,4,Métro Parc  (Ogilvy / Hutchison),Métro Laurier (Rivard / Laurier)
cloudy,Y,5.458620689655173,29,Metcalfe / de Maisonneuve,Mackay /de Maisonneuve (Sud)
cloudy,Y,9.241666666666667,2,Victoria / de Maisonneuve,Wilson / Sherbrooke
thunderstorm,Y,11.433333333333334,2,Clark / St-Viateur,de St-Vallier / Rosemont
cloudy,Y,13.85,1,de l'Esplanade / Laurier,Mackay /de Maisonneuve (Sud)
cloudy,Y,21.491666666666667,2,Square Phillips,Roy / St-Laurent
cloudy,N,5.45,1,4e avenue / Masson,Dandurand / de Lorimier
cloudy,Y,11.633333333333333,1,Lajeunesse / de Castelnau,Gary-Carter / St-Laurent
sky is clear,Y,25.766666666666666,1,St-Dominique / Jean-Talon,12e avenue / St-Zotique
sky is clear,Y,19.4,1,Laval / du Mont-Royal,Métro Parc  (Ogilvy / Hutchison)
mist,Y,26.6,1,Mackay /de Maisonneuve (Sud),Belmore / Sherbrooke
cloudy,Y,36.00833333333333,2,Gounod / St-Denis,Marquette / Laurier
cloudy,N,28.916666666666668,1,Paul Boutet / Jarry,Clark / Rachel
cloudy,N,10.383333333333333,1,des Érables / Sherbrooke,du Parc-La Fontaine / Duluth
sky is clear,Y,8.766666666666667,3,Berri / de Maisonneuve,de la Commune / St-Sulpice
cloudy,N,8.154385964912281,19,Berri / Cherrier,Gauthier / Papineau
cloudy,Y,5.45,1,Notre-Dame / Peel,Mansfield / Ste-Catherine
cloudy,Y,11.233333333333333,1,Duluth / St-Laurent,St-Antoine / St-François-Xavier
sky is clear,Y,16.475,2,Dorion / Ontario,St-Jacques / St-Pierre
cloudy,Y,20.9,1,Marquette / du Mont-Royal,Waverly / St-Zotique
cloudy,Y,2.283333333333333,1,Cartier / Marie-Anne,Marquette / Rachel
rain,Y,10.4,1,Omer-Lavallée / Midway,Cartier / Marie-Anne
cloudy,Y,42.63333333333333,1,26e avenue / Beaubien,Bloomfield / Bernard
mist,Y,6.983333333333333,1,Marquette / Laurier,Parc Père-Marquette (Chambord / Rosemont)
cloudy,Y,28.233333333333334,1,Ottawa / William,Rushbrooke /  Caisse
cloudy,Y,13.83,5,Fabre / Beaubien,Resther / St-Joseph
sky is clear,Y,19.044444444444444,3,Hôtel-de-Ville (du Champs-de-Mars / Gosford),Roy / St-Laurent
cloudy,Y,26.25,1,Métro Place-d'Armes (Viger / St-Urbain),Métro Lucien-L'Allier  (Lucien l'Allier / Argyle)
mist,Y,11.291666666666666,2,Greene / St-Ambroise,St-Jacques / St-Laurent
rain,Y,6.383333333333334,2,des Érables / Rachel,Gascon / Rachel
cloudy,N,15.25,1,Dandurand / de Lorimier,Alexandre-DeSève / de Maisonneuve
fog,Y,14.66,10,de la Gauchetière / Mansfield,Ste-Catherine / St-Hubert
